year,zip_code,housing_units_count,owner_occupied_housing_units_count,renter_occupied_housing_units_count
2011,90001,12853.0,4749.0,8104.0
2011,90002,11152.0,4528.0,6624.0
2011,90003,16151.0,5117.0,11034.0
2011,90004,23128.0,4265.0,18863.0
2011,90005,15775.0,1298.0,14477.0
2011,90006,18107.0,1655.0,16452.0
2011,90007,11273.0,1296.0,9977.0
2011,90008,14618.0,4834.0,9784.0
2011,90010,1683.0,424.0,1259.0
2011,90011,22258.0,6357.0,15901.0
2011,90012,9277.0,1206.0,8071.0
2011,90013,4310.0,507.0,3803.0
2011,90014,3715.0,186.0,3529.0
2011,90015,6764.0,827.0,5937.0
2011,90016,16713.0,5978.0,10735.0
2011,90017,8620.0,237.0,8383.0
2011,90018,15417.0,4572.0,10845.0
2011,90019,23689.0,6163.0,17526.0
2011,90020,16902.0,1622.0,15280.0
2011,90021,1485.0,115.0,1370.0
2011,90023,10705.0,2809.0,7896.0
2011,90024,17322.0,6004.0,11318.0
2011,90025,20828.0,5281.0,15547.0
2011,90026,25276.0,5686.0,19590.0
2011,90027,21702.0,4512.0,17190.0
2011,90028,14663.0,622.0,14041.0
2011,90029,13906.0,1346.0,12560.0
2011,90031,10951.0,3373.0,7578.0
2011,90032,13042.0,6299.0,6743.0
2011,90033,12662.0,2341.0,10321.0
2011,90034,26172.0,5040.0,21132.0
2011,90035,13229.0,4459.0,8770.0
2011,90036,18297.0,2761.0,15536.0
2011,90037,16281.0,3862.0,12419.0
2011,90038,12212.0,976.0,11236.0
2011,90039,11911.0,4960.0,6951.0
2011,90041,9401.0,4849.0,4552.0
2011,90042,20429.0,8952.0,11477.0
2011,90043,16319.0,8303.0,8016.0
2011,90044,25879.0,8357.0,17522.0
2011,90045,15302.0,8203.0,7099.0
2011,90046,28637.0,6400.0,22237.0
2011,90047,16494.0,9099.0,7395.0
2011,90048,11462.0,3364.0,8098.0
2011,90049,16800.0,9284.0,7516.0
2011,90056,3623.0,2284.0,1339.0
2011,90057,15545.0,611.0,14934.0
2011,90058,1094.0,116.0,978.0
2011,90059,9891.0,4079.0,5812.0
2011,90061,7215.0,3033.0,4182.0
2011,90062,9132.0,4103.0,5029.0
2011,90063,13088.0,4963.0,8125.0
2011,90064,10576.0,5839.0,4737.0
2011,90065,14646.0,7345.0,7301.0
2011,90066,24137.0,9742.0,14395.0
2011,90067,1462.0,1148.0,314.0
2011,90068,12430.0,5588.0,6842.0
2011,90069,13334.0,5577.0,7757.0
2011,90071,0.0,0.0,0.0
2011,90073,0.0,0.0,0.0
2011,90077,3329.0,3062.0,267.0
2011,90079,0.0,0.0,0.0
2011,90089,42.0,0.0,42.0
2011,90090,0.0,0.0,0.0
2011,90094,2636.0,1261.0,1375.0
2011,90095,0.0,0.0,0.0
2011,90210,8498.0,6211.0,2287.0
2011,90211,3510.0,1137.0,2373.0
2011,90212,5386.0,1416.0,3970.0
2011,90230,13186.0,7838.0,5348.0
2011,90232,6365.0,2395.0,3970.0
2011,90245,7094.0,3026.0,4068.0
2011,90247,16348.0,6384.0,9964.0
2011,90248,3596.0,2615.0,981.0
2011,90250,31204.0,9535.0,21669.0
2011,90262,15218.0,7335.0,7883.0
2011,90265,7022.0,5183.0,1839.0
2011,90272,8921.0,7386.0,1535.0
2011,90275,15143.0,12233.0,2910.0
2011,90280,23718.0,10503.0,13215.0
2011,90290,2604.0,2087.0,517.0
2011,90291,13959.0,4877.0,9082.0
2011,90292,12573.0,4025.0,8548.0
2011,90293,6934.0,3415.0,3519.0
2011,90301,12324.0,3056.0,9268.0
2011,90302,11032.0,3295.0,7737.0
2011,90304,6628.0,2296.0,4332.0
2011,90305,5851.0,3910.0,1941.0
2011,90402,5620.0,3847.0,1773.0
2011,90403,13948.0,3181.0,10767.0
2011,90404,9836.0,1929.0,7907.0
2011,90405,14296.0,4745.0,9551.0
2011,90501,14235.0,6541.0,7694.0
2011,90502,5569.0,3682.0,1887.0
2011,90504,11426.0,7023.0,4403.0
2011,90710,9079.0,5327.0,3752.0
2011,90717,8218.0,3644.0,4574.0
2011,90731,22036.0,7011.0,15025.0
2011,90732,8171.0,6209.0,1962.0
2011,90744,13977.0,5435.0,8542.0
2011,90745,14832.0,10422.0,4410.0
2011,90802,19486.0,4267.0,15219.0
2011,90810,9680.0,5169.0,4511.0
2011,90813,16126.0,2606.0,13520.0
2011,91011,6735.0,6158.0,577.0
2011,91030,10318.0,4953.0,5365.0
2011,91040,7163.0,5141.0,2022.0
2011,91042,9758.0,5568.0,4190.0
2011,91105,4937.0,3573.0,1364.0
2011,91201,8386.0,2787.0,5599.0
2011,91204,5758.0,838.0,4920.0
2011,91205,14017.0,2682.0,11335.0
2011,91206,12868.0,5142.0,7726.0
2011,91214,10471.0,7828.0,2643.0
2011,91302,9177.0,7138.0,2039.0
2011,91303,8508.0,2316.0,6192.0
2011,91304,16588.0,9000.0,7588.0
2011,91306,14096.0,8362.0,5734.0
2011,91307,8189.0,7068.0,1121.0
2011,91311,13452.0,9376.0,4076.0
2011,91316,11897.0,6219.0,5678.0
2011,91321,10955.0,6685.0,4270.0
2011,91324,8810.0,4710.0,4100.0
2011,91325,11837.0,5741.0,6096.0
2011,91326,11690.0,9204.0,2486.0
2011,91330,26.0,0.0,26.0
2011,91331,21365.0,12658.0,8707.0
2011,91335,22485.0,11297.0,11188.0
2011,91340,8523.0,4763.0,3760.0
2011,91342,23267.0,16842.0,6425.0
2011,91343,16833.0,9367.0,7466.0
2011,91344,16930.0,12775.0,4155.0
2011,91345,5353.0,3928.0,1425.0
2011,91352,12255.0,6705.0,5550.0
2011,91356,11400.0,6715.0,4685.0
2011,91364,9958.0,7471.0,2487.0
2011,91367,16291.0,9987.0,6304.0
2011,91371,0.0,0.0,0.0
2011,91401,14421.0,5035.0,9386.0
2011,91402,18378.0,6424.0,11954.0
2011,91403,11367.0,5088.0,6279.0
2011,91405,16713.0,4719.0,11994.0
2011,91406,17168.0,7958.0,9210.0
2011,91411,9083.0,2387.0,6696.0
2011,91423,14609.0,6180.0,8429.0
2011,91436,5470.0,4505.0,965.0
2011,91501,8195.0,2780.0,5415.0
2011,91504,9226.0,4987.0,4239.0
2011,91505,12592.0,6147.0,6445.0
2011,91506,7400.0,4437.0,2963.0
2011,91601,15463.0,2782.0,12681.0
2011,91602,8969.0,3003.0,5966.0
2011,91604,13655.0,6647.0,7008.0
2011,91605,15134.0,6043.0,9091.0
2011,91606,15424.0,5128.0,10296.0
2011,91607,13086.0,4527.0,8559.0
2011,91608,0.0,0.0,0.0
2011,91754,10825.0,5942.0,4883.0
2011,91801,19024.0,6885.0,12139.0
2011,91803,9808.0,5093.0,4715.0
2012,90001,12832.0,4604.0,8228.0
2012,90002,11617.0,4539.0,7078.0
2012,90003,16399.0,5259.0,11140.0
2012,90004,23101.0,4124.0,18977.0
2012,90005,15224.0,1297.0,13927.0
2012,90006,18404.0,1528.0,16876.0
2012,90007,11361.0,1379.0,9982.0
2012,90008,14085.0,4865.0,9220.0
2012,90010,2109.0,421.0,1688.0
2012,90011,21919.0,6210.0,15709.0
2012,90012,9451.0,1235.0,8216.0
2012,90013,5030.0,638.0,4392.0
2012,90014,3972.0,378.0,3594.0
2012,90015,6957.0,866.0,6091.0
2012,90016,17051.0,5959.0,11092.0
2012,90017,9135.0,295.0,8840.0
2012,90018,15300.0,4481.0,10819.0
2012,90019,23964.0,6243.0,17721.0
2012,90020,16808.0,1564.0,15244.0
2012,90021,1492.0,125.0,1367.0
2012,90023,10814.0,2714.0,8100.0
2012,90024,17520.0,5677.0,11843.0
2012,90025,20954.0,5373.0,15581.0
2012,90026,25295.0,5422.0,19873.0
2012,90027,21691.0,4666.0,17025.0
2012,90028,14959.0,687.0,14272.0
2012,90029,13961.0,1228.0,12733.0
2012,90031,11136.0,3273.0,7863.0
2012,90032,12921.0,6411.0,6510.0
2012,90033,12753.0,2306.0,10447.0
2012,90034,25877.0,5175.0,20702.0
2012,90035,13271.0,4406.0,8865.0
2012,90036,18334.0,2702.0,15632.0
2012,90037,16366.0,4030.0,12336.0
2012,90038,12252.0,948.0,11304.0
2012,90039,11804.0,4811.0,6993.0
2012,90041,9497.0,4830.0,4667.0
2012,90042,19798.0,8823.0,10975.0
2012,90043,16318.0,8129.0,8189.0
2012,90044,25526.0,8182.0,17344.0
2012,90045,15312.0,8249.0,7063.0
2012,90046,28793.0,6173.0,22620.0
2012,90047,16459.0,9190.0,7269.0
2012,90048,11284.0,3478.0,7806.0
2012,90049,16643.0,9254.0,7389.0
2012,90056,3769.0,2355.0,1414.0
2012,90057,15764.0,625.0,15139.0
2012,90058,973.0,106.0,867.0
2012,90059,9563.0,4100.0,5463.0
2012,90061,7173.0,2869.0,4304.0
2012,90062,9145.0,3957.0,5188.0
2012,90063,13245.0,4945.0,8300.0
2012,90064,10574.0,5829.0,4745.0
2012,90065,14652.0,7360.0,7292.0
2012,90066,24110.0,9544.0,14566.0
2012,90067,1470.0,1111.0,359.0
2012,90068,12514.0,5449.0,7065.0
2012,90069,13369.0,5037.0,8332.0
2012,90071,0.0,0.0,0.0
2012,90073,0.0,0.0,0.0
2012,90077,3195.0,2865.0,330.0
2012,90079,0.0,0.0,0.0
2012,90089,33.0,0.0,33.0
2012,90090,0.0,0.0,0.0
2012,90094,2797.0,1311.0,1486.0
2012,90095,0.0,0.0,0.0
2012,90210,8486.0,6215.0,2271.0
2012,90211,3569.0,989.0,2580.0
2012,90212,5506.0,1531.0,3975.0
2012,90230,13354.0,7736.0,5618.0
2012,90232,6347.0,2463.0,3884.0
2012,90245,6956.0,2859.0,4097.0
2012,90247,16256.0,6423.0,9833.0
2012,90248,3410.0,2590.0,820.0
2012,90250,31533.0,9702.0,21831.0
2012,90262,15229.0,7160.0,8069.0
2012,90265,6935.0,5042.0,1893.0
2012,90272,8906.0,7179.0,1727.0
2012,90275,15178.0,12461.0,2717.0
2012,90280,23925.0,11040.0,12885.0
2012,90290,2468.0,1982.0,486.0
2012,90291,14003.0,4814.0,9189.0
2012,90292,12523.0,4037.0,8486.0
2012,90293,6705.0,3066.0,3639.0
2012,90301,12245.0,2869.0,9376.0
2012,90302,10925.0,3126.0,7799.0
2012,90304,6658.0,2284.0,4374.0
2012,90305,5923.0,3843.0,2080.0
2012,90402,5544.0,3866.0,1678.0
2012,90403,13686.0,3312.0,10374.0
2012,90404,9678.0,2074.0,7604.0
2012,90405,14097.0,4630.0,9467.0
2012,90501,14312.0,6548.0,7764.0
2012,90502,5556.0,3809.0,1747.0
2012,90504,11400.0,7065.0,4335.0
2012,90710,9039.0,5378.0,3661.0
2012,90717,8319.0,3671.0,4648.0
2012,90731,22009.0,6911.0,15098.0
2012,90732,8347.0,5930.0,2417.0
2012,90744,13934.0,5657.0,8277.0
2012,90745,14827.0,10324.0,4503.0
2012,90802,19776.0,4142.0,15634.0
2012,90810,9425.0,5082.0,4343.0
2012,90813,16304.0,2511.0,13793.0
2012,91011,6786.0,6171.0,615.0
2012,91030,10354.0,4894.0,5460.0
2012,91040,7044.0,5026.0,2018.0
2012,91042,9962.0,5359.0,4603.0
2012,91105,5107.0,3562.0,1545.0
2012,91201,8309.0,2752.0,5557.0
2012,91204,5732.0,781.0,4951.0
2012,91205,13885.0,2677.0,11208.0
2012,91206,12678.0,5063.0,7615.0
2012,91214,10493.0,7819.0,2674.0
2012,91302,8957.0,6925.0,2032.0
2012,91303,8664.0,2288.0,6376.0
2012,91304,16794.0,9217.0,7577.0
2012,91306,14035.0,8462.0,5573.0
2012,91307,8402.0,7174.0,1228.0
2012,91311,13406.0,9405.0,4001.0
2012,91316,12039.0,6417.0,5622.0
2012,91321,11029.0,6280.0,4749.0
2012,91324,8852.0,4746.0,4106.0
2012,91325,11893.0,5866.0,6027.0
2012,91326,11996.0,9047.0,2949.0
2012,91330,13.0,0.0,13.0
2012,91331,21402.0,12570.0,8832.0
2012,91335,22325.0,11023.0,11302.0
2012,91340,8453.0,4773.0,3680.0
2012,91342,23208.0,16179.0,7029.0
2012,91343,16799.0,9208.0,7591.0
2012,91344,16929.0,12604.0,4325.0
2012,91345,5313.0,3764.0,1549.0
2012,91352,12107.0,6320.0,5787.0
2012,91356,11294.0,6513.0,4781.0
2012,91364,10123.0,7583.0,2540.0
2012,91367,16712.0,9788.0,6924.0
2012,91371,0.0,0.0,0.0
2012,91401,14567.0,5108.0,9459.0
2012,91402,18277.0,6375.0,11902.0
2012,91403,11253.0,5263.0,5990.0
2012,91405,16716.0,4627.0,12089.0
2012,91406,17506.0,7807.0,9699.0
2012,91411,9266.0,2410.0,6856.0
2012,91423,14559.0,6012.0,8547.0
2012,91436,5632.0,4609.0,1023.0
2012,91501,7925.0,2748.0,5177.0
2012,91504,9286.0,5032.0,4254.0
2012,91505,12711.0,6288.0,6423.0
2012,91506,7412.0,4335.0,3077.0
2012,91601,15859.0,2756.0,13103.0
2012,91602,8902.0,3076.0,5826.0
2012,91604,13894.0,6730.0,7164.0
2012,91605,15264.0,6164.0,9100.0
2012,91606,15526.0,5224.0,10302.0
2012,91607,12929.0,4438.0,8491.0
2012,91608,0.0,0.0,0.0
2012,91754,10468.0,5636.0,4832.0
2012,91801,19267.0,6901.0,12366.0
2012,91803,9839.0,5111.0,4728.0
2013,90001,12945.0,4545.0,8400.0
2013,90002,11670.0,4185.0,7485.0
2013,90003,15989.0,4939.0,11050.0
2013,90004,22861.0,3775.0,19086.0
2013,90005,15338.0,1147.0,14191.0
2013,90006,18722.0,1448.0,17274.0
2013,90007,11385.0,1419.0,9966.0
2013,90008,14035.0,4732.0,9303.0
2013,90010,2331.0,452.0,1879.0
2013,90011,22000.0,6004.0,15996.0
2013,90012,9765.0,1282.0,8483.0
2013,90013,5745.0,731.0,5014.0
2013,90014,4088.0,403.0,3685.0
2013,90015,7180.0,864.0,6316.0
2013,90016,17060.0,6223.0,10837.0
2013,90017,9463.0,312.0,9151.0
2013,90018,15466.0,4705.0,10761.0
2013,90019,23812.0,6488.0,17324.0
2013,90020,16468.0,1491.0,14977.0
2013,90021,1663.0,136.0,1527.0
2013,90023,10802.0,2849.0,7953.0
2013,90024,17423.0,5412.0,12011.0
2013,90025,21197.0,5306.0,15891.0
2013,90026,25277.0,5233.0,20044.0
2013,90027,21670.0,4615.0,17055.0
2013,90028,14964.0,807.0,14157.0
2013,90029,14046.0,1379.0,12667.0
2013,90031,11258.0,3598.0,7660.0
2013,90032,12898.0,6339.0,6559.0
2013,90033,12812.0,2138.0,10674.0
2013,90034,25585.0,4969.0,20616.0
2013,90035,13353.0,4364.0,8989.0
2013,90036,18284.0,2629.0,15655.0
2013,90037,16187.0,4227.0,11960.0
2013,90038,12050.0,948.0,11102.0
2013,90039,11649.0,4868.0,6781.0
2013,90041,9404.0,4814.0,4590.0
2013,90042,19551.0,8583.0,10968.0
2013,90043,16271.0,8167.0,8104.0
2013,90044,25671.0,7928.0,17743.0
2013,90045,15262.0,8179.0,7083.0
2013,90046,28728.0,6177.0,22551.0
2013,90047,16217.0,8835.0,7382.0
2013,90048,11414.0,3589.0,7825.0
2013,90049,16559.0,9168.0,7391.0
2013,90056,3613.0,2321.0,1292.0
2013,90057,15800.0,640.0,15160.0
2013,90058,905.0,110.0,795.0
2013,90059,9557.0,4039.0,5518.0
2013,90061,7191.0,2895.0,4296.0
2013,90062,9283.0,3857.0,5426.0
2013,90063,13435.0,4769.0,8666.0
2013,90064,10719.0,5959.0,4760.0
2013,90065,14598.0,7241.0,7357.0
2013,90066,24480.0,9405.0,15075.0
2013,90067,1425.0,1064.0,361.0
2013,90068,12338.0,5415.0,6923.0
2013,90069,13152.0,4841.0,8311.0
2013,90071,0.0,0.0,0.0
2013,90073,0.0,0.0,0.0
2013,90077,3299.0,2900.0,399.0
2013,90079,0.0,0.0,0.0
2013,90089,18.0,0.0,18.0
2013,90090,0.0,0.0,0.0
2013,90094,2890.0,1387.0,1503.0
2013,90095,0.0,0.0,0.0
2013,90210,8310.0,6063.0,2247.0
2013,90211,3503.0,921.0,2582.0
2013,90212,5619.0,1738.0,3881.0
2013,90230,13086.0,7352.0,5734.0
2013,90232,6310.0,2450.0,3860.0
2013,90245,6745.0,2811.0,3934.0
2013,90247,16201.0,6509.0,9692.0
2013,90248,3398.0,2474.0,924.0
2013,90250,31396.0,9671.0,21725.0
2013,90262,15273.0,7060.0,8213.0
2013,90265,6885.0,5155.0,1730.0
2013,90272,8997.0,7253.0,1744.0
2013,90275,15450.0,12701.0,2749.0
2013,90280,23616.0,11247.0,12369.0
2013,90290,2476.0,1998.0,478.0
2013,90291,14028.0,4697.0,9331.0
2013,90292,12168.0,3605.0,8563.0
2013,90293,6700.0,3208.0,3492.0
2013,90301,12169.0,2833.0,9336.0
2013,90302,10948.0,3286.0,7662.0
2013,90304,6739.0,2226.0,4513.0
2013,90305,5790.0,3823.0,1967.0
2013,90402,5390.0,3617.0,1773.0
2013,90403,13877.0,3116.0,10761.0
2013,90404,9729.0,2055.0,7674.0
2013,90405,14100.0,4488.0,9612.0
2013,90501,14361.0,6446.0,7915.0
2013,90502,5647.0,3956.0,1691.0
2013,90504,11423.0,7123.0,4300.0
2013,90710,8909.0,5250.0,3659.0
2013,90717,8404.0,3624.0,4780.0
2013,90731,22185.0,7315.0,14870.0
2013,90732,8346.0,5735.0,2611.0
2013,90744,13912.0,5715.0,8197.0
2013,90745,14945.0,10400.0,4545.0
2013,90802,20190.0,4395.0,15795.0
2013,90810,9431.0,5237.0,4194.0
2013,90813,16500.0,2567.0,13933.0
2013,91011,6685.0,5959.0,726.0
2013,91030,10222.0,4779.0,5443.0
2013,91040,7026.0,4933.0,2093.0
2013,91042,10064.0,5394.0,4670.0
2013,91105,5452.0,3517.0,1935.0
2013,91201,8313.0,2792.0,5521.0
2013,91204,5740.0,738.0,5002.0
2013,91205,13989.0,2331.0,11658.0
2013,91206,12758.0,4750.0,8008.0
2013,91214,10548.0,7769.0,2779.0
2013,91302,9122.0,6884.0,2238.0
2013,91303,8917.0,2329.0,6588.0
2013,91304,16809.0,8848.0,7961.0
2013,91306,14055.0,8151.0,5904.0
2013,91307,8516.0,7226.0,1290.0
2013,91311,13515.0,9411.0,4104.0
2013,91316,12254.0,6433.0,5821.0
2013,91321,11129.0,6216.0,4913.0
2013,91324,9012.0,4711.0,4301.0
2013,91325,11888.0,5653.0,6235.0
2013,91326,12113.0,8838.0,3275.0
2013,91330,13.0,0.0,13.0
2013,91331,21793.0,12706.0,9087.0
2013,91335,22777.0,11324.0,11453.0
2013,91340,8425.0,4793.0,3632.0
2013,91342,23337.0,16152.0,7185.0
2013,91343,16909.0,9102.0,7807.0
2013,91344,16849.0,12709.0,4140.0
2013,91345,5261.0,3709.0,1552.0
2013,91352,12323.0,6420.0,5903.0
2013,91356,11298.0,6306.0,4992.0
2013,91364,10104.0,7419.0,2685.0
2013,91367,16718.0,9487.0,7231.0
2013,91371,0.0,0.0,0.0
2013,91401,14450.0,5025.0,9425.0
2013,91402,18408.0,6582.0,11826.0
2013,91403,11317.0,5340.0,5977.0
2013,91405,16704.0,4672.0,12032.0
2013,91406,17366.0,7575.0,9791.0
2013,91411,9291.0,2628.0,6663.0
2013,91423,14690.0,6047.0,8643.0
2013,91436,5593.0,4409.0,1184.0
2013,91501,7828.0,2469.0,5359.0
2013,91504,9249.0,4890.0,4359.0
2013,91505,13059.0,6263.0,6796.0
2013,91506,7170.0,4099.0,3071.0
2013,91601,16063.0,2856.0,13207.0
2013,91602,9171.0,3187.0,5984.0
2013,91604,13873.0,6856.0,7017.0
2013,91605,15491.0,6018.0,9473.0
2013,91606,15182.0,5027.0,10155.0
2013,91607,13089.0,4331.0,8758.0
2013,91608,0.0,0.0,0.0
2013,91754,10512.0,5848.0,4664.0
2013,91801,19455.0,7035.0,12420.0
2013,91803,9894.0,4905.0,4989.0
2014,90001,13325.0,4626.0,8699.0
2014,90002,11888.0,4521.0,7367.0
2014,90003,15891.0,4799.0,11092.0
2014,90004,22765.0,3678.0,19087.0
2014,90005,15408.0,1173.0,14235.0
2014,90006,19026.0,1341.0,17685.0
2014,90007,11617.0,1394.0,10223.0
2014,90008,14281.0,4890.0,9391.0
2014,90010,2170.0,406.0,1764.0
2014,90011,22242.0,5879.0,16363.0
2014,90012,10101.0,1337.0,8764.0
2014,90013,5872.0,827.0,5045.0
2014,90014,4677.0,382.0,4295.0
2014,90015,7264.0,1032.0,6232.0
2014,90016,17048.0,6092.0,10956.0
2014,90017,9577.0,293.0,9284.0
2014,90018,15569.0,4666.0,10903.0
2014,90019,24161.0,6506.0,17655.0
2014,90020,16374.0,1586.0,14788.0
2014,90021,1680.0,125.0,1555.0
2014,90023,10860.0,3002.0,7858.0
2014,90024,17261.0,5257.0,12004.0
2014,90025,21577.0,5341.0,16236.0
2014,90026,25139.0,5609.0,19530.0
2014,90027,21485.0,4391.0,17094.0
2014,90028,15621.0,782.0,14839.0
2014,90029,14129.0,1257.0,12872.0
2014,90031,11286.0,3620.0,7666.0
2014,90032,13035.0,6379.0,6656.0
2014,90033,12967.0,2183.0,10784.0
2014,90034,25836.0,4835.0,21001.0
2014,90035,13367.0,4427.0,8940.0
2014,90036,18450.0,2806.0,15644.0
2014,90037,16334.0,4013.0,12321.0
2014,90038,11935.0,1082.0,10853.0
2014,90039,11547.0,4686.0,6861.0
