year,zip_code,cars_count,vans_count,campers_or_rvs_count,tents_count,homeless_individuals_count
2011,90001,7.0,3.0,2.0,0.0,53.0
2011,90002,8.0,23.0,24.0,11.0,137.0
2011,90003,9.0,9.0,9.0,0.0,98.0
2011,90004,15.0,14.0,3.0,2.0,82.0
2011,90005,5.0,7.0,4.0,0.0,83.0
2011,90006,10.0,23.0,6.0,2.0,53.0
2011,90007,7.0,12.0,10.0,4.0,44.0
2011,90008,0.0,0.0,1.0,0.0,14.0
2011,90010,5.0,7.0,4.0,0.0,76.0
2011,90011,5.0,8.0,13.0,1.0,36.0
2011,90012,10.0,4.0,9.0,45.0,533.0
2011,90013,19.0,8.0,8.0,84.0,723.0
2011,90014,15.0,7.0,1.0,42.0,418.0
2011,90015,10.0,14.0,12.0,16.0,227.0
2011,90016,7.0,15.0,18.0,0.0,48.0
2011,90017,1.0,8.0,2.0,4.0,66.0
2011,90018,9.0,9.0,13.0,1.0,28.0
2011,90019,14.0,21.0,18.0,1.0,72.0
2011,90020,4.0,6.0,2.0,2.0,76.0
2011,90021,15.0,7.0,1.0,42.0,306.0
2011,90023,10.0,19.0,11.0,0.0,51.0
2011,90024,3.0,2.0,1.0,0.0,24.0
2011,90025,8.0,14.0,13.0,0.0,25.0
2011,90026,11.0,33.0,15.0,0.0,100.0
2011,90027,13.0,22.0,14.0,0.0,85.0
2011,90028,31.0,34.0,27.0,2.0,371.0
2011,90029,24.0,48.0,19.0,1.0,93.0
2011,90031,4.0,1.0,4.0,0.0,11.0
2011,90032,0.0,8.0,27.0,0.0,6.0
2011,90033,19.0,26.0,21.0,1.0,79.0
2011,90034,2.0,12.0,14.0,1.0,27.0
2011,90035,0.0,0.0,0.0,0.0,9.0
2011,90036,14.0,9.0,6.0,1.0,59.0
2011,90037,3.0,11.0,25.0,1.0,74.0
2011,90038,37.0,45.0,18.0,2.0,126.0
2011,90039,5.0,14.0,11.0,0.0,22.0
2011,90041,0.0,6.0,10.0,0.0,1.0
2011,90042,0.0,3.0,8.0,0.0,4.0
2011,90043,0.0,1.0,1.0,0.0,2.0
2011,90044,19.0,18.0,18.0,0.0,146.0
2011,90045,2.0,12.0,25.0,0.0,21.0
2011,90046,5.0,15.0,9.0,1.0,121.0
2011,90047,16.0,10.0,16.0,0.0,113.0
2011,90048,0.0,2.0,2.0,1.0,22.0
2011,90049,0.0,4.0,4.0,0.0,9.0
2011,90056,0.0,2.0,2.0,0.0,8.0
2011,90057,3.0,11.0,4.0,2.0,85.0
2011,90058,4.0,3.0,11.0,0.0,17.0
2011,90059,2.0,1.0,14.0,11.0,68.0
2011,90061,1.0,3.0,1.0,0.0,3.0
2011,90062,4.0,5.0,22.0,0.0,41.0
2011,90063,10.0,7.0,17.0,0.0,22.0
2011,90064,11.0,17.0,20.0,0.0,16.0
2011,90065,3.0,8.0,7.0,0.0,10.0
2011,90066,22.0,50.0,52.0,0.0,25.0
2011,90067,0.0,0.0,0.0,0.0,0.0
2011,90068,7.0,6.0,11.0,1.0,52.0
2011,90069,0.0,1.0,0.0,0.0,14.0
2011,90071,0.0,0.0,1.0,4.0,64.0
2011,90073,0.0,0.0,0.0,0.0,1.0
2011,90077,0.0,0.0,0.0,0.0,0.0
2011,90079,0.0,0.0,0.0,4.0,22.0
2011,90089,,,,,
2011,90090,,,,,
2011,90094,,,,,
2011,90095,,,,,
2011,90210,0.0,0.0,0.0,0.0,14.0
2011,90211,0.0,0.0,0.0,0.0,9.0
2011,90212,1.0,0.0,0.0,0.0,6.0
2011,90230,31.0,5.0,8.0,0.0,19.0
2011,90232,29.0,10.0,9.0,1.0,20.0
2011,90245,2.0,4.0,7.0,0.0,10.0
2011,90247,2.0,10.0,10.0,0.0,21.0
2011,90248,5.0,5.0,13.0,0.0,12.0
2011,90250,0.0,1.0,2.0,0.0,4.0
2011,90262,1.0,3.0,4.0,0.0,34.0
2011,90265,0.0,5.0,5.0,0.0,6.0
2011,90272,0.0,0.0,5.0,1.0,7.0
2011,90275,2.0,6.0,2.0,0.0,0.0
2011,90280,18.0,44.0,23.0,0.0,50.0
2011,90290,0.0,5.0,3.0,0.0,0.0
2011,90291,25.0,69.0,47.0,1.0,205.0
2011,90292,9.0,10.0,7.0,0.0,29.0
2011,90293,2.0,9.0,15.0,0.0,10.0
2011,90301,2.0,1.0,0.0,0.0,2.0
2011,90302,2.0,1.0,1.0,0.0,9.0
2011,90304,1.0,0.0,3.0,0.0,11.0
2011,90305,,,,,
2011,90402,2.0,0.0,0.0,0.0,4.0
2011,90403,3.0,2.0,1.0,0.0,57.0
2011,90404,9.0,7.0,10.0,2.0,193.0
2011,90405,21.0,13.0,20.0,2.0,198.0
2011,90501,3.0,7.0,7.0,0.0,6.0
2011,90502,0.0,0.0,1.0,0.0,2.0
2011,90504,4.0,11.0,13.0,0.0,7.0
2011,90710,5.0,9.0,9.0,0.0,100.0
2011,90717,4.0,3.0,3.0,0.0,4.0
2011,90731,9.0,20.0,28.0,1.0,25.0
2011,90732,0.0,5.0,8.0,1.0,2.0
2011,90744,8.0,16.0,42.0,0.0,133.0
2011,90745,1.0,5.0,10.0,0.0,7.0
2011,90802,1.0,1.0,0.0,0.0,0.0
2011,90810,2.0,0.0,17.0,0.0,8.0
2011,90813,,,,,
2011,91011,,,,,
2011,91030,0.0,0.0,0.0,0.0,0.0
2011,91040,0.0,0.0,0.0,0.0,0.0
2011,91042,0.0,0.0,0.0,0.0,0.0
2011,91105,0.0,2.0,0.0,0.0,0.0
2011,91201,,,,,
2011,91204,,,,,
2011,91205,0.0,0.0,0.0,0.0,0.0
2011,91206,,,,,
2011,91214,,,,,
2011,91302,,,,,
2011,91303,1.0,6.0,25.0,0.0,20.0
2011,91304,5.0,8.0,44.0,0.0,31.0
2011,91306,2.0,3.0,23.0,0.0,22.0
2011,91307,0.0,2.0,1.0,0.0,7.0
2011,91311,2.0,3.0,16.0,0.0,11.0
2011,91316,0.0,0.0,0.0,0.0,5.0
2011,91321,1.0,1.0,1.0,0.0,1.0
2011,91324,1.0,0.0,0.0,0.0,3.0
2011,91325,,,,,
2011,91326,0.0,0.0,0.0,0.0,0.0
2011,91330,,,,,
2011,91331,6.0,2.0,11.0,0.0,16.0
2011,91335,0.0,0.0,1.0,0.0,0.0
2011,91340,7.0,2.0,7.0,0.0,13.0
2011,91342,3.0,2.0,1.0,0.0,2.0
2011,91343,0.0,4.0,2.0,0.0,1.0
2011,91344,0.0,0.0,0.0,0.0,0.0
2011,91345,1.0,1.0,5.0,0.0,14.0
2011,91352,0.0,0.0,0.0,0.0,0.0
2011,91356,0.0,0.0,1.0,0.0,6.0
2011,91364,0.0,0.0,1.0,0.0,6.0
2011,91367,0.0,1.0,1.0,0.0,5.0
2011,91371,0.0,0.0,0.0,0.0,0.0
2011,91401,1.0,3.0,3.0,0.0,15.0
2011,91402,1.0,2.0,5.0,0.0,17.0
2011,91403,1.0,0.0,0.0,0.0,3.0
2011,91405,3.0,1.0,0.0,0.0,26.0
2011,91406,0.0,1.0,4.0,0.0,8.0
2011,91411,1.0,3.0,3.0,0.0,15.0
2011,91423,0.0,0.0,0.0,0.0,1.0
2011,91436,0.0,0.0,0.0,0.0,4.0
2011,91501,4.0,8.0,7.0,0.0,9.0
2011,91504,4.0,5.0,6.0,0.0,2.0
2011,91505,6.0,10.0,16.0,0.0,17.0
2011,91506,3.0,2.0,7.0,0.0,7.0
2011,91601,1.0,0.0,0.0,0.0,0.0
2011,91602,0.0,0.0,0.0,0.0,0.0
2011,91604,0.0,0.0,0.0,0.0,1.0
2011,91605,3.0,6.0,2.0,3.0,6.0
2011,91606,4.0,6.0,1.0,3.0,5.0
2011,91607,1.0,0.0,0.0,0.0,0.0
2011,91608,,,,,
2011,91754,0.0,1.0,0.0,0.0,1.0
2011,91801,0.0,0.0,0.0,0.0,1.0
2011,91803,0.0,0.0,0.0,0.0,0.0
2013,90001,9.0,7.0,12.0,6.0,111.0
2013,90002,11.0,4.0,13.0,6.0,121.0
2013,90003,24.0,43.0,46.0,18.0,344.0
2013,90004,21.0,24.0,10.0,1.0,103.0
2013,90005,0.0,10.0,3.0,0.0,86.0
2013,90006,2.0,15.0,15.0,0.0,52.0
2013,90007,23.0,11.0,5.0,1.0,40.0
2013,90008,11.0,10.0,20.0,0.0,132.0
2013,90010,0.0,9.0,1.0,0.0,84.0
2013,90011,44.0,51.0,43.0,41.0,453.0
2013,90012,4.0,4.0,14.0,92.0,611.0
2013,90013,10.0,17.0,18.0,154.0,799.0
2013,90014,13.0,2.0,16.0,101.0,568.0
2013,90015,12.0,19.0,16.0,94.0,611.0
2013,90016,6.0,19.0,30.0,3.0,96.0
2013,90017,3.0,11.0,0.0,14.0,235.0
2013,90018,6.0,19.0,16.0,3.0,71.0
2013,90019,5.0,11.0,26.0,0.0,38.0
2013,90020,13.0,16.0,5.0,0.0,70.0
2013,90021,9.0,14.0,24.0,93.0,296.0
2013,90023,1.0,16.0,22.0,16.0,92.0
2013,90024,4.0,3.0,0.0,0.0,8.0
2013,90025,16.0,15.0,21.0,0.0,56.0
2013,90026,14.0,16.0,14.0,5.0,71.0
2013,90027,4.0,11.0,11.0,2.0,104.0
2013,90028,18.0,18.0,25.0,3.0,316.0
2013,90029,21.0,32.0,16.0,3.0,106.0
2013,90031,8.0,18.0,18.0,4.0,21.0
2013,90032,2.0,9.0,16.0,3.0,5.0
2013,90033,6.0,30.0,26.0,23.0,123.0
2013,90034,6.0,2.0,14.0,2.0,21.0
2013,90035,1.0,2.0,5.0,0.0,16.0
2013,90036,3.0,4.0,8.0,0.0,82.0
2013,90037,23.0,15.0,8.0,3.0,105.0
2013,90038,14.0,20.0,24.0,1.0,117.0
2013,90039,8.0,4.0,10.0,0.0,17.0
2013,90041,14.0,20.0,18.0,2.0,28.0
2013,90042,5.0,12.0,28.0,7.0,19.0
2013,90043,5.0,6.0,6.0,1.0,88.0
2013,90044,30.0,55.0,57.0,13.0,214.0
2013,90045,16.0,22.0,51.0,1.0,66.0
2013,90046,6.0,10.0,3.0,0.0,96.0
2013,90047,17.0,37.0,35.0,2.0,83.0
2013,90048,1.0,0.0,0.0,0.0,41.0
2013,90049,6.0,6.0,1.0,0.0,14.0
2013,90056,6.0,5.0,4.0,0.0,9.0
2013,90057,0.0,7.0,0.0,0.0,107.0
2013,90058,12.0,33.0,31.0,46.0,168.0
2013,90059,7.0,3.0,10.0,6.0,96.0
2013,90061,5.0,2.0,9.0,0.0,29.0
2013,90062,7.0,9.0,8.0,2.0,74.0
2013,90063,1.0,7.0,10.0,0.0,17.0
2013,90064,10.0,12.0,21.0,2.0,22.0
2013,90065,1.0,13.0,19.0,0.0,18.0
2013,90066,19.0,33.0,48.0,2.0,22.0
2013,90067,0.0,0.0,0.0,0.0,2.0
2013,90068,9.0,7.0,6.0,1.0,67.0
2013,90069,1.0,0.0,0.0,0.0,29.0
2013,90071,3.0,1.0,0.0,18.0,179.0
2013,90073,3.0,1.0,0.0,0.0,0.0
2013,90077,1.0,2.0,0.0,0.0,1.0
2013,90079,0.0,6.0,0.0,6.0,94.0
2013,90089,0.0,0.0,0.0,0.0,0.0
2013,90090,0.0,0.0,5.0,0.0,0.0
2013,90094,3.0,8.0,7.0,0.0,3.0
2013,90095,,,,,
2013,90210,1.0,0.0,0.0,0.0,21.0
2013,90211,0.0,0.0,0.0,0.0,12.0
2013,90212,0.0,2.0,2.0,0.0,12.0
2013,90230,6.0,16.0,14.0,0.0,18.0
2013,90232,4.0,2.0,4.0,2.0,7.0
2013,90245,0.0,6.0,4.0,0.0,18.0
2013,90247,10.0,2.0,20.0,1.0,16.0
2013,90248,8.0,21.0,36.0,0.0,24.0
2013,90250,5.0,0.0,3.0,0.0,9.0
2013,90262,5.0,13.0,3.0,5.0,46.0
2013,90265,6.0,11.0,9.0,3.0,23.0
2013,90272,0.0,0.0,2.0,1.0,9.0
2013,90275,0.0,3.0,2.0,0.0,2.0
2013,90280,14.0,21.0,8.0,0.0,45.0
2013,90290,3.0,6.0,6.0,1.0,7.0
2013,90291,15.0,52.0,40.0,22.0,189.0
2013,90292,6.0,7.0,14.0,16.0,41.0
2013,90293,2.0,15.0,16.0,0.0,18.0
2013,90301,5.0,3.0,5.0,1.0,54.0
2013,90302,3.0,0.0,4.0,1.0,30.0
2013,90304,8.0,0.0,7.0,0.0,73.0
2013,90305,4.0,2.0,1.0,0.0,11.0
2013,90402,4.0,2.0,1.0,0.0,1.0
2013,90403,32.0,0.0,0.0,0.0,62.0
2013,90404,15.0,0.0,0.0,0.0,231.0
2013,90405,27.0,28.0,16.0,4.0,269.0
2013,90501,6.0,17.0,22.0,0.0,5.0
2013,90502,4.0,11.0,21.0,0.0,6.0
2013,90504,1.0,4.0,3.0,0.0,1.0
2013,90710,7.0,9.0,31.0,1.0,7.0
2013,90717,1.0,10.0,23.0,1.0,3.0
2013,90731,12.0,29.0,45.0,1.0,31.0
2013,90732,1.0,6.0,26.0,0.0,3.0
2013,90744,7.0,16.0,61.0,0.0,31.0
2013,90745,4.0,5.0,35.0,0.0,11.0
2013,90802,1.0,0.0,1.0,0.0,0.0
2013,90810,6.0,6.0,22.0,0.0,4.0
2013,90813,,,,,
2013,91011,2.0,1.0,0.0,1.0,2.0
2013,91030,0.0,1.0,1.0,0.0,4.0
2013,91040,4.0,5.0,5.0,14.0,95.0
2013,91042,3.0,7.0,16.0,12.0,87.0
2013,91105,5.0,10.0,2.0,2.0,6.0
2013,91201,,,,,
2013,91204,,,,,
2013,91205,,,,,
2013,91206,0.0,0.0,0.0,1.0,1.0
2013,91214,0.0,2.0,2.0,0.0,6.0
2013,91302,3.0,1.0,0.0,0.0,7.0
2013,91303,4.0,3.0,24.0,0.0,31.0
2013,91304,5.0,11.0,20.0,1.0,15.0
2013,91306,2.0,6.0,8.0,0.0,7.0
2013,91307,0.0,0.0,18.0,0.0,7.0
2013,91311,1.0,6.0,13.0,1.0,1.0
2013,91316,,,,,
2013,91321,7.0,1.0,4.0,4.0,14.0
2013,91324,0.0,0.0,0.0,0.0,0.0
2013,91325,1.0,0.0,0.0,0.0,8.0
2013,91326,1.0,1.0,4.0,0.0,1.0
2013,91330,,,,,
2013,91331,1.0,0.0,2.0,0.0,14.0
2013,91335,0.0,4.0,1.0,0.0,2.0
2013,91340,0.0,0.0,5.0,0.0,10.0
2013,91342,1.0,0.0,9.0,7.0,46.0
2013,91343,2.0,1.0,5.0,3.0,45.0
2013,91344,1.0,0.0,0.0,0.0,8.0
2013,91345,0.0,0.0,0.0,0.0,0.0
2013,91352,55.0,44.0,54.0,3.0,87.0
2013,91356,0.0,0.0,0.0,0.0,0.0
2013,91364,0.0,1.0,0.0,0.0,2.0
2013,91367,1.0,5.0,3.0,0.0,14.0
2013,91371,1.0,1.0,2.0,0.0,3.0
2013,91401,0.0,1.0,12.0,2.0,42.0
2013,91402,0.0,1.0,1.0,0.0,22.0
2013,91403,1.0,2.0,0.0,0.0,0.0
2013,91405,1.0,5.0,5.0,6.0,40.0
2013,91406,5.0,7.0,10.0,2.0,26.0
2013,91411,0.0,0.0,8.0,1.0,25.0
2013,91423,1.0,2.0,0.0,0.0,0.0
2013,91436,,,,,
2013,91501,3.0,1.0,10.0,2.0,14.0
2013,91504,3.0,6.0,16.0,2.0,20.0
2013,91505,13.0,13.0,31.0,0.0,24.0
2013,91506,2.0,4.0,10.0,0.0,10.0
2013,91601,17.0,18.0,15.0,0.0,46.0
2013,91602,12.0,10.0,0.0,0.0,32.0
2013,91604,1.0,1.0,0.0,0.0,8.0
2013,91605,46.0,46.0,50.0,2.0,80.0
2013,91606,10.0,16.0,42.0,2.0,41.0
2013,91607,6.0,0.0,7.0,2.0,10.0
2013,91608,,,,,
2013,91754,2.0,1.0,10.0,0.0,9.0
2013,91801,2.0,0.0,1.0,0.0,12.0
2013,91803,1.0,0.0,1.0,0.0,10.0
2015,90001,20.0,51.0,64.0,18.0,358.0
2015,90002,25.0,26.0,65.0,3.0,258.0
2015,90003,47.0,42.0,103.0,35.0,478.0
2015,90004,8.0,27.0,30.0,17.0,127.0
2015,90005,14.0,8.0,7.0,1.0,115.0
2015,90006,16.0,16.0,24.0,7.0,105.0
2015,90007,13.0,18.0,39.0,9.0,130.0
2015,90008,8.0,8.0,3.0,1.0,58.0
2015,90010,10.0,6.0,6.0,1.0,102.0
2015,90011,43.0,65.0,61.0,63.0,393.0
2015,90012,4.0,21.0,19.0,240.0,883.0
2015,90013,5.0,10.0,7.0,251.0,1180.0
2015,90014,6.0,15.0,14.0,152.0,986.0
2015,90015,13.0,27.0,29.0,94.0,663.0
2015,90016,50.0,42.0,56.0,18.0,142.0
2015,90017,12.0,36.0,8.0,50.0,227.0
2015,90018,48.0,45.0,35.0,1.0,104.0
2015,90019,30.0,37.0,47.0,4.0,95.0
2015,90020,12.0,24.0,6.0,11.0,88.0
2015,90021,6.0,14.0,14.0,136.0,702.0
2015,90023,10.0,30.0,26.0,9.0,68.0
2015,90024,3.0,5.0,3.0,1.0,61.0
2015,90025,14.0,15.0,14.0,1.0,145.0
2015,90026,8.0,44.0,31.0,28.0,121.0
2015,90027,20.0,19.0,5.0,4.0,142.0
2015,90028,55.0,17.0,31.0,15.0,396.0
2015,90029,29.0,27.0,16.0,17.0,191.0
2015,90031,22.0,27.0,37.0,29.0,91.0
2015,90032,16.0,10.0,41.0,11.0,22.0
2015,90033,12.0,30.0,23.0,13.0,84.0
2015,90034,12.0,13.0,50.0,3.0,75.0
2015,90035,9.0,3.0,8.0,0.0,43.0
2015,90036,2.0,7.0,20.0,2.0,147.0
2015,90037,22.0,45.0,51.0,8.0,236.0
2015,90038,47.0,25.0,32.0,15.0,182.0
2015,90039,2.0,2.0,7.0,5.0,35.0
2015,90041,9.0,11.0,18.0,0.0,15.0
2015,90042,2.0,11.0,30.0,13.0,20.0
2015,90043,11.0,12.0,13.0,1.0,47.0
2015,90044,29.0,35.0,100.0,14.0,433.0
2015,90045,13.0,16.0,66.0,19.0,62.0
2015,90046,14.0,7.0,7.0,3.0,167.0
2015,90047,14.0,26.0,81.0,5.0,253.0
2015,90048,1.0,0.0,1.0,0.0,90.0
2015,90049,2.0,6.0,8.0,0.0,68.0
2015,90056,16.0,5.0,9.0,0.0,21.0
2015,90057,11.0,23.0,14.0,13.0,213.0
2015,90058,30.0,34.0,36.0,53.0,286.0
2015,90059,38.0,45.0,52.0,5.0,226.0
2015,90061,92.0,76.0,201.0,21.0,270.0
2015,90062,7.0,19.0,13.0,4.0,92.0
2015,90063,15.0,24.0,34.0,0.0,46.0
2015,90064,16.0,7.0,19.0,0.0,68.0
2015,90065,9.0,20.0,34.0,8.0,35.0
2015,90066,50.0,86.0,101.0,8.0,78.0
2015,90067,5.0,0.0,0.0,0.0,6.0
2015,90068,9.0,5.0,6.0,14.0,76.0
2015,90069,1.0,0.0,0.0,0.0,18.0
2015,90071,0.0,0.0,0.0,21.0,174.0
2015,90073,0.0,0.0,0.0,0.0,0.0
2015,90077,1.0,1.0,0.0,1.0,27.0
2015,90079,1.0,2.0,0.0,6.0,68.0
2015,90089,2.0,0.0,3.0,0.0,16.0
2015,90090,0.0,0.0,0.0,0.0,0.0
2015,90094,2.0,1.0,7.0,0.0,0.0
2015,90095,1.0,1.0,0.0,1.0,27.0
2015,90210,2.0,0.0,0.0,0.0,30.0
2015,90211,1.0,0.0,1.0,0.0,23.0
2015,90212,4.0,0.0,3.0,0.0,27.0
2015,90230,19.0,17.0,26.0,0.0,22.0
2015,90232,2.0,6.0,25.0,0.0,42.0
2015,90245,2.0,4.0,8.0,0.0,24.0
2015,90247,12.0,8.0,22.0,1.0,47.0
2015,90248,90.0,99.0,236.0,10.0,156.0
2015,90250,2.0,21.0,10.0,27.0,46.0
2015,90262,25.0,28.0,29.0,6.0,63.0
2015,90265,1.0,2.0,4.0,0.0,9.0
2015,90272,3.0,1.0,3.0,9.0,70.0
2015,90275,1.0,3.0,0.0,4.0,2.0
2015,90280,10.0,31.0,15.0,2.0,94.0
2015,90290,0.0,1.0,3.0,0.0,1.0
2015,90291,56.0,74.0,54.0,60.0,445.0
2015,90292,5.0,16.0,14.0,7.0,42.0
2015,90293,2.0,5.0,9.0,1.0,27.0
2015,90301,0.0,0.0,8.0,3.0,47.0
2015,90302,17.0,4.0,5.0,3.0,30.0
2015,90304,2.0,11.0,9.0,14.0,58.0
2015,90305,1.0,5.0,2.0,0.0,17.0
2015,90402,2.0,2.0,2.0,9.0,48.0
2015,90403,3.0,2.0,0.0,0.0,71.0
2015,90404,14.0,22.0,7.0,2.0,234.0
2015,90405,21.0,39.0,24.0,7.0,252.0
2015,90501,2.0,7.0,17.0,0.0,9.0
2015,90502,0.0,20.0,14.0,0.0,6.0
2015,90504,3.0,6.0,2.0,0.0,18.0
2015,90710,2.0,6.0,5.0,22.0,27.0
2015,90717,1.0,4.0,1.0,0.0,25.0
2015,90731,12.0,16.0,45.0,9.0,99.0
2015,90732,7.0,14.0,24.0,4.0,28.0
2015,90744,25.0,34.0,85.0,40.0,142.0
2015,90745,3.0,9.0,16.0,8.0,24.0
2015,90802,0.0,0.0,0.0,0.0,0.0
2015,90810,1.0,4.0,21.0,6.0,7.0
2015,90813,,,,,
2015,91011,0.0,0.0,0.0,0.0,0.0
2015,91030,0.0,0.0,0.0,0.0,0.0
2015,91040,12.0,0.0,16.0,0.0,74.0
2015,91042,11.0,0.0,11.0,2.0,83.0
2015,91105,0.0,1.0,5.0,0.0,6.0
2015,91201,,,,,
2015,91204,,,,,
2015,91205,0.0,2.0,2.0,0.0,0.0
2015,91206,,,,,
2015,91214,7.0,0.0,0.0,0.0,29.0
2015,91302,0.0,0.0,1.0,0.0,1.0
2015,91303,3.0,14.0,29.0,0.0,30.0
2015,91304,6.0,14.0,35.0,0.0,28.0
2015,91306,6.0,2.0,34.0,0.0,43.0
