year,zip_code,median_gross_rent
2011,90001,952.0
2011,90002,918.0
2011,90003,974.0
2011,90004,1004.0
2011,90005,910.0
2011,90006,868.0
2011,90007,911.0
2011,90008,986.0
2011,90010,1557.0
2011,90011,940.0
2011,90012,960.0
2011,90013,489.0
2011,90014,361.0
2011,90015,779.0
2011,90016,1010.0
2011,90017,769.0
2011,90018,928.0
2011,90019,1100.0
2011,90020,1085.0
2011,90021,422.0
2011,90023,942.0
2011,90024,1746.0
2011,90025,1487.0
2011,90026,1002.0
2011,90027,1125.0
2011,90028,1015.0
2011,90029,933.0
2011,90031,912.0
2011,90032,980.0
2011,90033,870.0
2011,90034,1341.0
2011,90035,1547.0
2011,90036,1766.0
2011,90037,866.0
2011,90038,985.0
2011,90039,1199.0
2011,90041,1157.0
2011,90042,1057.0
2011,90043,973.0
2011,90044,942.0
2011,90045,1595.0
2011,90046,1296.0
2011,90047,949.0
2011,90048,1620.0
2011,90049,1759.0
2011,90056,1565.0
2011,90057,865.0
2011,90058,703.0
2011,90059,893.0
2011,90061,1019.0
2011,90062,973.0
2011,90063,922.0
2011,90064,1567.0
2011,90065,987.0
2011,90066,1308.0
2011,90067,
2011,90068,1355.0
2011,90069,1429.0
2011,90071,
2011,90073,
2011,90077,1965.0
2011,90079,
2011,90089,1021.0
2011,90090,
2011,90094,
2011,90095,
2011,90210,1858.0
2011,90211,1749.0
2011,90212,1902.0
2011,90230,1398.0
2011,90232,1343.0
2011,90245,1452.0
2011,90247,1020.0
2011,90248,1058.0
2011,90250,1000.0
2011,90262,989.0
2011,90265,
2011,90272,
2011,90275,
2011,90280,987.0
2011,90290,1960.0
2011,90291,1502.0
2011,90292,
2011,90293,1781.0
2011,90301,988.0
2011,90302,1072.0
2011,90304,937.0
2011,90305,1162.0
2011,90402,1869.0
2011,90403,1541.0
2011,90404,1324.0
2011,90405,1448.0
2011,90501,1153.0
2011,90502,1160.0
2011,90504,1324.0
2011,90710,1049.0
2011,90717,1163.0
2011,90731,1060.0
2011,90732,1510.0
2011,90744,947.0
2011,90745,1243.0
2011,90802,994.0
2011,90810,968.0
2011,90813,932.0
2011,91011,
2011,91030,1399.0
2011,91040,1196.0
2011,91042,1131.0
2011,91105,1650.0
2011,91201,1273.0
2011,91204,1106.0
2011,91205,1169.0
2011,91206,1257.0
2011,91214,1567.0
2011,91302,1852.0
2011,91303,1187.0
2011,91304,1178.0
2011,91306,1123.0
2011,91307,
2011,91311,1441.0
2011,91316,1437.0
2011,91321,1292.0
2011,91324,1281.0
2011,91325,1203.0
2011,91326,1510.0
2011,91330,900.0
2011,91331,1199.0
2011,91335,1163.0
2011,91340,1142.0
2011,91342,1280.0
2011,91343,1098.0
2011,91344,1527.0
2011,91345,1182.0
2011,91352,1098.0
2011,91356,1198.0
2011,91364,1696.0
2011,91367,1703.0
2011,91371,
2011,91401,1107.0
2011,91402,1081.0
2011,91403,1533.0
2011,91405,1015.0
2011,91406,1105.0
2011,91411,1156.0
2011,91423,1464.0
2011,91436,
2011,91501,1402.0
2011,91504,1328.0
2011,91505,1362.0
2011,91506,1316.0
2011,91601,1187.0
2011,91602,1359.0
2011,91604,1576.0
2011,91605,1022.0
2011,91606,1050.0
2011,91607,1237.0
2011,91608,
2011,91754,1157.0
2011,91801,1172.0
2011,91803,1148.0
2012,90001,950.0
2012,90002,940.0
2012,90003,999.0
2012,90004,1040.0
2012,90005,920.0
2012,90006,897.0
2012,90007,963.0
2012,90008,1000.0
2012,90010,1633.0
2012,90011,964.0
2012,90012,975.0
2012,90013,536.0
2012,90014,441.0
2012,90015,794.0
2012,90016,1023.0
2012,90017,823.0
2012,90018,954.0
2012,90019,1113.0
2012,90020,1099.0
2012,90021,441.0
2012,90023,972.0
2012,90024,1772.0
2012,90025,1540.0
2012,90026,1038.0
2012,90027,1149.0
2012,90028,1060.0
2012,90029,954.0
2012,90031,956.0
2012,90032,1028.0
2012,90033,889.0
2012,90034,1363.0
2012,90035,1616.0
2012,90036,1774.0
2012,90037,898.0
2012,90038,1013.0
2012,90039,1248.0
2012,90041,1199.0
2012,90042,1087.0
2012,90043,1013.0
2012,90044,961.0
2012,90045,1647.0
2012,90046,1340.0
2012,90047,979.0
2012,90048,1639.0
2012,90049,1817.0
2012,90056,1589.0
2012,90057,874.0
2012,90058,695.0
2012,90059,935.0
2012,90061,1029.0
2012,90062,993.0
2012,90063,964.0
2012,90064,1615.0
2012,90065,1055.0
2012,90066,1359.0
2012,90067,
2012,90068,1409.0
2012,90069,1509.0
2012,90071,
2012,90073,
2012,90077,1847.0
2012,90079,
2012,90089,925.0
2012,90090,
2012,90094,
2012,90095,
2012,90210,1883.0
2012,90211,1743.0
2012,90212,1955.0
2012,90230,1433.0
2012,90232,1363.0
2012,90245,1464.0
2012,90247,1076.0
2012,90248,998.0
2012,90250,1029.0
2012,90262,1006.0
2012,90265,
2012,90272,
2012,90275,
2012,90280,975.0
2012,90290,1967.0
2012,90291,1513.0
2012,90292,
2012,90293,1824.0
2012,90301,1037.0
2012,90302,1075.0
2012,90304,954.0
2012,90305,1192.0
2012,90402,1812.0
2012,90403,1615.0
2012,90404,1393.0
2012,90405,1456.0
2012,90501,1170.0
2012,90502,1162.0
2012,90504,1335.0
2012,90710,1050.0
2012,90717,1182.0
2012,90731,1107.0
2012,90732,1516.0
2012,90744,982.0
2012,90745,1265.0
2012,90802,1032.0
2012,90810,985.0
2012,90813,936.0
2012,91011,
2012,91030,1399.0
2012,91040,1203.0
2012,91042,1153.0
2012,91105,1805.0
2012,91201,1301.0
2012,91204,1160.0
2012,91205,1204.0
2012,91206,1283.0
2012,91214,1581.0
2012,91302,1882.0
2012,91303,1210.0
2012,91304,1185.0
2012,91306,1143.0
2012,91307,
2012,91311,1446.0
2012,91316,1425.0
2012,91321,1282.0
2012,91324,1321.0
2012,91325,1258.0
2012,91326,1677.0
2012,91330,
2012,91331,1231.0
2012,91335,1179.0
2012,91340,1198.0
2012,91342,1300.0
2012,91343,1124.0
2012,91344,1524.0
2012,91345,1289.0
2012,91352,1130.0
2012,91356,1205.0
2012,91364,1741.0
2012,91367,1710.0
2012,91371,
2012,91401,1125.0
2012,91402,1091.0
2012,91403,1500.0
2012,91405,1053.0
2012,91406,1130.0
2012,91411,1155.0
2012,91423,1497.0
2012,91436,
2012,91501,1419.0
2012,91504,1358.0
2012,91505,1418.0
2012,91506,1303.0
2012,91601,1228.0
2012,91602,1345.0
2012,91604,1634.0
2012,91605,1044.0
2012,91606,1073.0
2012,91607,1268.0
2012,91608,
2012,91754,1188.0
2012,91801,1203.0
2012,91803,1146.0
2013,90001,962.0
2013,90002,952.0
2013,90003,1039.0
2013,90004,1064.0
2013,90005,936.0
2013,90006,914.0
2013,90007,1000.0
2013,90008,1016.0
2013,90010,1633.0
2013,90011,978.0
2013,90012,1047.0
2013,90013,587.0
2013,90014,562.0
2013,90015,841.0
2013,90016,1045.0
2013,90017,824.0
2013,90018,966.0
2013,90019,1120.0
2013,90020,1107.0
2013,90021,517.0
2013,90023,978.0
2013,90024,1830.0
2013,90025,1576.0
2013,90026,1070.0
2013,90027,1178.0
2013,90028,1101.0
2013,90029,966.0
2013,90031,963.0
2013,90032,1068.0
2013,90033,891.0
2013,90034,1371.0
2013,90035,1641.0
2013,90036,1791.0
2013,90037,951.0
2013,90038,1037.0
2013,90039,1259.0
2013,90041,1211.0
2013,90042,1125.0
2013,90043,1037.0
2013,90044,968.0
2013,90045,1659.0
2013,90046,1368.0
2013,90047,1021.0
2013,90048,1679.0
2013,90049,1846.0
2013,90056,1506.0
2013,90057,876.0
2013,90058,641.0
2013,90059,898.0
2013,90061,1093.0
2013,90062,1009.0
2013,90063,1012.0
2013,90064,1672.0
2013,90065,1082.0
2013,90066,1381.0
2013,90067,
2013,90068,1431.0
2013,90069,1532.0
2013,90071,
2013,90073,
2013,90077,1991.0
2013,90079,
2013,90089,1063.0
2013,90090,
2013,90094,
2013,90095,
2013,90210,
2013,90211,1738.0
2013,90212,1918.0
2013,90230,1488.0
2013,90232,1418.0
2013,90245,1490.0
2013,90247,1082.0
2013,90248,1058.0
2013,90250,1034.0
2013,90262,1013.0
2013,90265,
2013,90272,
2013,90275,
2013,90280,984.0
2013,90290,1933.0
2013,90291,1618.0
2013,90292,
2013,90293,1838.0
2013,90301,1047.0
2013,90302,1063.0
2013,90304,979.0
2013,90305,1228.0
2013,90402,1844.0
2013,90403,1649.0
2013,90404,1397.0
2013,90405,1509.0
2013,90501,1186.0
2013,90502,1160.0
2013,90504,1345.0
2013,90710,1045.0
2013,90717,1207.0
2013,90731,1109.0
2013,90732,1624.0
2013,90744,988.0
2013,90745,1314.0
2013,90802,1032.0
2013,90810,1014.0
2013,90813,951.0
2013,91011,1906.0
2013,91030,1406.0
2013,91040,1193.0
2013,91042,1133.0
2013,91105,1824.0
2013,91201,1309.0
2013,91204,1155.0
2013,91205,1214.0
2013,91206,1259.0
2013,91214,1641.0
2013,91302,1981.0
2013,91303,1211.0
2013,91304,1197.0
2013,91306,1140.0
2013,91307,
2013,91311,1376.0
2013,91316,1434.0
2013,91321,1334.0
2013,91324,1374.0
2013,91325,1291.0
2013,91326,1692.0
2013,91330,
2013,91331,1299.0
2013,91335,1186.0
2013,91340,1194.0
2013,91342,1313.0
2013,91343,1141.0
2013,91344,1546.0
2013,91345,1279.0
2013,91352,1145.0
2013,91356,1224.0
2013,91364,1811.0
2013,91367,1705.0
2013,91371,
2013,91401,1144.0
2013,91402,1077.0
2013,91403,1516.0
2013,91405,1078.0
2013,91406,1125.0
2013,91411,1156.0
2013,91423,1466.0
2013,91436,
2013,91501,1420.0
2013,91504,1315.0
2013,91505,1469.0
2013,91506,1307.0
2013,91601,1268.0
2013,91602,1399.0
2013,91604,1652.0
2013,91605,1074.0
2013,91606,1103.0
2013,91607,1259.0
2013,91608,
2013,91754,1187.0
2013,91801,1233.0
2013,91803,1167.0
2014,90001,975.0
2014,90002,968.0
2014,90003,1064.0
2014,90004,1070.0
2014,90005,939.0
2014,90006,940.0
2014,90007,1038.0
2014,90008,1032.0
2014,90010,1637.0
2014,90011,993.0
2014,90012,1116.0
2014,90013,686.0
2014,90014,615.0
2014,90015,866.0
2014,90016,1086.0
2014,90017,848.0
2014,90018,967.0
2014,90019,1135.0
2014,90020,1119.0
2014,90021,408.0
2014,90023,960.0
2014,90024,1862.0
2014,90025,1609.0
2014,90026,1094.0
2014,90027,1219.0
2014,90028,1137.0
2014,90029,977.0
2014,90031,996.0
2014,90032,1090.0
2014,90033,908.0
2014,90034,1402.0
2014,90035,1679.0
2014,90036,1818.0
2014,90037,959.0
2014,90038,1036.0
2014,90039,1330.0
2014,90041,1199.0
2014,90042,1169.0
2014,90043,1028.0
2014,90044,986.0
2014,90045,1690.0
2014,90046,1403.0
2014,90047,1072.0
2014,90048,1695.0
2014,90049,1872.0
2014,90056,1462.0
2014,90057,872.0
2014,90058,645.0
2014,90059,899.0
2014,90061,1114.0
2014,90062,1013.0
2014,90063,1014.0
2014,90064,1690.0
2014,90065,1116.0
2014,90066,1434.0
2014,90067,
2014,90068,1443.0
2014,90069,1570.0
2014,90071,
2014,90073,
2014,90077,
2014,90079,
2014,90089,
2014,90090,
2014,90094,
2014,90095,
2014,90210,
2014,90211,1773.0
2014,90212,1902.0
2014,90230,1531.0
2014,90232,1470.0
2014,90245,1555.0
2014,90247,1104.0
2014,90248,1134.0
2014,90250,1060.0
2014,90262,1046.0
2014,90265,
2014,90272,
2014,90275,
2014,90280,993.0
2014,90290,1961.0
2014,90291,1718.0
2014,90292,
2014,90293,1767.0
2014,90301,1063.0
2014,90302,1092.0
2014,90304,993.0
2014,90305,1216.0
2014,90402,1849.0
2014,90403,1699.0
2014,90404,1427.0
2014,90405,1547.0
2014,90501,1213.0
2014,90502,1361.0
2014,90504,1362.0
2014,90710,1058.0
2014,90717,1231.0
2014,90731,1125.0
2014,90732,1689.0
2014,90744,1020.0
2014,90745,1353.0
2014,90802,1048.0
2014,90810,1051.0
2014,90813,959.0
2014,91011,
2014,91030,1394.0
2014,91040,1181.0
2014,91042,1147.0
2014,91105,1958.0
2014,91201,1326.0
2014,91204,1166.0
2014,91205,1215.0
2014,91206,1276.0
2014,91214,1602.0
2014,91302,1983.0
2014,91303,1234.0
2014,91304,1197.0
2014,91306,1152.0
2014,91307,
2014,91311,1417.0
2014,91316,1455.0
2014,91321,1338.0
2014,91324,1399.0
2014,91325,1305.0
2014,91326,1787.0
2014,91330,
2014,91331,1292.0
2014,91335,1211.0
2014,91340,1183.0
2014,91342,1313.0
2014,91343,1165.0
2014,91344,1538.0
2014,91345,1321.0
2014,91352,1161.0
2014,91356,1246.0
2014,91364,1810.0
2014,91367,1756.0
2014,91371,
2014,91401,1177.0
2014,91402,1064.0
2014,91403,1563.0
2014,91405,1073.0
2014,91406,1130.0
2014,91411,1159.0
2014,91423,1484.0
2014,91436,
2014,91501,1442.0
2014,91504,1335.0
2014,91505,1512.0
2014,91506,1309.0
2014,91601,1256.0
2014,91602,1438.0
2014,91604,1675.0
2014,91605,1090.0
2014,91606,1125.0
2014,91607,1278.0
2014,91608,
2014,91754,1226.0
2014,91801,1232.0
2014,91803,1183.0
2015,90001,984.0
2015,90002,991.0
2015,90003,1075.0
2015,90004,1090.0
2015,90005,952.0
2015,90006,963.0
2015,90007,1046.0
2015,90008,1001.0
2015,90010,1645.0
2015,90011,991.0
2015,90012,1163.0
2015,90013,640.0
2015,90014,732.0
2015,90015,897.0
2015,90016,1098.0
2015,90017,870.0
2015,90018,977.0
2015,90019,1156.0
2015,90020,1137.0
2015,90021,427.0
2015,90023,982.0
2015,90024,1912.0
2015,90025,1668.0
2015,90026,1118.0
2015,90027,1229.0
2015,90028,1143.0
2015,90029,1020.0
2015,90031,995.0
2015,90032,1100.0
2015,90033,911.0
2015,90034,1425.0
2015,90035,1678.0
2015,90036,1854.0
2015,90037,974.0
2015,90038,1050.0
2015,90039,1360.0
2015,90041,1206.0
2015,90042,1173.0
2015,90043,994.0
2015,90044,986.0
2015,90045,1706.0
2015,90046,1422.0
2015,90047,1070.0
2015,90048,1751.0
2015,90049,1891.0
2015,90056,1489.0
2015,90057,876.0
2015,90058,640.0
2015,90059,912.0
2015,90061,1131.0
2015,90062,1040.0
2015,90063,1028.0
2015,90064,1703.0
2015,90065,1131.0
2015,90066,1443.0
2015,90067,2564.0
2015,90068,1446.0
2015,90069,1571.0
2015,90071,
2015,90073,
2015,90077,2310.0
2015,90079,
2015,90089,
2015,90090,
2015,90094,2442.0
2015,90095,
2015,90210,2209.0
2015,90211,1699.0
2015,90212,1959.0
2015,90230,1530.0
2015,90232,1494.0
2015,90245,1575.0
2015,90247,1126.0
2015,90248,1175.0
2015,90250,1059.0
2015,90262,1054.0
2015,90265,2618.0
2015,90272,2453.0
2015,90275,2244.0
2015,90280,999.0
2015,90290,1901.0
2015,90291,1786.0
2015,90292,2341.0
2015,90293,1798.0
2015,90301,1065.0
2015,90302,1113.0
2015,90304,1000.0
2015,90305,1229.0
2015,90402,1793.0
2015,90403,1700.0
2015,90404,1441.0
2015,90405,1556.0
2015,90501,1200.0
2015,90502,1326.0
2015,90504,1354.0
2015,90710,1024.0
2015,90717,1260.0
2015,90731,1129.0
2015,90732,1737.0
2015,90744,1006.0
2015,90745,1339.0
2015,90802,1057.0
2015,90810,1043.0
2015,90813,947.0
2015,91011,2097.0
2015,91030,1403.0
2015,91040,1212.0
2015,91042,1175.0
2015,91105,2029.0
2015,91201,1266.0
2015,91204,1166.0
2015,91205,1221.0
2015,91206,1284.0
2015,91214,1655.0
2015,91302,2046.0
2015,91303,1235.0
2015,91304,1232.0
2015,91306,1185.0
2015,91307,2508.0
2015,91311,1438.0
2015,91316,1426.0
2015,91321,1354.0
2015,91324,1445.0
2015,91325,1339.0
2015,91326,1775.0
2015,91330,
2015,91331,1299.0
2015,91335,1215.0
2015,91340,1202.0
2015,91342,1334.0
2015,91343,1163.0
2015,91344,1621.0
2015,91345,1339.0
2015,91352,1193.0
2015,91356,1340.0
2015,91364,1891.0
2015,91367,1805.0
2015,91371,
2015,91401,1194.0
2015,91402,1079.0
2015,91403,1565.0
2015,91405,1071.0
2015,91406,1150.0
2015,91411,1158.0
2015,91423,1549.0
2015,91436,2203.0
2015,91501,1454.0
2015,91504,1344.0
2015,91505,1544.0
2015,91506,1344.0
2015,91601,1271.0
2015,91602,1456.0
2015,91604,1668.0
2015,91605,1112.0
2015,91606,1135.0
2015,91607,1302.0
2015,91608,
2015,91754,1211.0
2015,91801,1224.0
2015,91803,1176.0
2016,90001,1009.0
2016,90002,1035.0
2016,90003,1099.0
2016,90004,1125.0
2016,90005,988.0
2016,90006,984.0
2016,90007,1079.0
2016,90008,1044.0
2016,90010,1656.0
2016,90011,1011.0
2016,90012,1208.0
2016,90013,770.0
2016,90014,789.0
2016,90015,961.0
2016,90016,1132.0
2016,90017,897.0
2016,90018,1017.0
2016,90019,1189.0
2016,90020,1164.0
2016,90021,456.0
2016,90023,1009.0
2016,90024,1976.0
2016,90025,1724.0
2016,90026,1162.0
2016,90027,1259.0
2016,90028,1181.0
2016,90029,1056.0
2016,90031,1024.0
2016,90032,1093.0
2016,90033,934.0
2016,90034,1472.0
2016,90035,1749.0
2016,90036,1942.0
2016,90037,1003.0
2016,90038,1103.0
2016,90039,1440.0
2016,90041,1295.0
2016,90042,1186.0
2016,90043,1043.0
2016,90044,988.0
2016,90045,1741.0
2016,90046,1464.0
2016,90047,1114.0
2016,90048,1854.0
2016,90049,1991.0
2016,90056,1537.0
2016,90057,910.0
2016,90058,547.0
2016,90059,902.0
2016,90061,1097.0
2016,90062,1053.0
2016,90063,1037.0
2016,90064,1778.0
2016,90065,1144.0
2016,90066,1501.0
2016,90067,2372.0
2016,90068,1560.0
2016,90069,1631.0
2016,90071,
2016,90073,
2016,90077,2418.0
2016,90079,
2016,90089,
2016,90090,
2016,90094,2624.0
2016,90095,
2016,90210,2274.0
2016,90211,1762.0
2016,90212,2009.0
2016,90230,1553.0
2016,90232,1546.0
2016,90245,1638.0
2016,90247,1150.0
2016,90248,1180.0
2016,90250,1084.0
2016,90262,1057.0
2016,90265,2736.0
2016,90272,2530.0
2016,90275,2348.0
2016,90280,1012.0
2016,90290,1884.0
2016,90291,1780.0
2016,90292,2463.0
2016,90293,1834.0
2016,90301,1106.0
2016,90302,1151.0
2016,90304,1021.0
2016,90305,1296.0
2016,90402,1875.0
2016,90403,1745.0
2016,90404,1449.0
2016,90405,1589.0
2016,90501,1239.0
2016,90502,1407.0
2016,90504,1359.0
2016,90710,1101.0
2016,90717,1258.0
2016,90731,1167.0
2016,90732,1776.0
2016,90744,1032.0
2016,90745,1387.0
2016,90802,1092.0
2016,90810,1085.0
2016,90813,972.0
2016,91011,2000.0
2016,91030,1464.0
2016,91040,1201.0
2016,91042,1211.0
2016,91105,2106.0
2016,91201,1335.0
2016,91204,1237.0
2016,91205,1253.0
2016,91206,1365.0
2016,91214,1662.0
2016,91302,2176.0
2016,91303,1287.0
2016,91304,1289.0
2016,91306,1212.0
2016,91307,2576.0
2016,91311,1567.0
2016,91316,1459.0
2016,91321,1399.0
2016,91324,1535.0
2016,91325,1356.0
2016,91326,1820.0
2016,91330,
2016,91331,1315.0
2016,91335,1249.0
2016,91340,1217.0
2016,91342,1389.0
2016,91343,1183.0
2016,91344,1621.0
2016,91345,1430.0
2016,91352,1232.0
2016,91356,1363.0
2016,91364,1964.0
2016,91367,1841.0
2016,91371,
2016,91401,1212.0
2016,91402,1128.0
2016,91403,1591.0
2016,91405,1110.0
2016,91406,1193.0
2016,91411,1197.0
2016,91423,1614.0
2016,91436,2189.0
2016,91501,1468.0
2016,91504,1399.0
2016,91505,1627.0
2016,91506,1324.0
2016,91601,1289.0
2016,91602,1499.0
2016,91604,1724.0
2016,91605,1157.0
2016,91606,1159.0
2016,91607,1340.0
2016,91608,
2016,91754,1211.0
2016,91801,1248.0
2016,91803,1203.0
2017,90001,1051.0
2017,90002,1074.0
2017,90003,1133.0
2017,90004,1177.0
2017,90005,1060.0
2017,90006,1030.0
2017,90007,1111.0
2017,90008,1097.0
2017,90010,1692.0
2017,90011,1074.0
2017,90012,1327.0
2017,90013,810.0
2017,90014,1550.0
2017,90015,1064.0
2017,90016,1163.0
2017,90017,951.0
2017,90018,1050.0
2017,90019,1245.0
2017,90020,1221.0
2017,90021,473.0
2017,90023,1034.0
2017,90024,2068.0
2017,90025,1808.0
2017,90026,1213.0
2017,90027,1324.0
2017,90028,1273.0
2017,90029,1104.0
2017,90031,1072.0
2017,90032,1120.0
2017,90033,980.0
2017,90034,1566.0
2017,90035,1815.0
2017,90036,2055.0
2017,90037,1031.0
2017,90038,1161.0
2017,90039,1535.0
2017,90041,1338.0
2017,90042,1216.0
2017,90043,1070.0
2017,90044,1031.0
2017,90045,1842.0
2017,90046,1517.0
2017,90047,1157.0
2017,90048,1997.0
2017,90049,2108.0
2017,90056,1601.0
2017,90057,957.0
2017,90058,590.0
2017,90059,946.0
2017,90061,1147.0
2017,90062,1118.0
2017,90063,1073.0
2017,90064,1871.0
2017,90065,1187.0
2017,90066,1612.0
2017,90067,2442.0
2017,90068,1654.0
2017,90069,1724.0
2017,90071,
2017,90073,
2017,90077,2371.0
2017,90079,
2017,90089,
2017,90090,
2017,90094,2751.0
2017,90095,
2017,90210,2383.0
2017,90211,1819.0
2017,90212,2013.0
2017,90230,1621.0
2017,90232,1657.0
2017,90245,1681.0
2017,90247,1168.0
2017,90248,1219.0
2017,90250,1140.0
2017,90262,1123.0
2017,90265,2579.0
2017,90272,2364.0
2017,90275,2391.0
2017,90280,1072.0
2017,90290,1970.0
2017,90291,1861.0
2017,90292,2638.0
2017,90293,1963.0
2017,90301,1139.0
2017,90302,1208.0
